,genre_sequence,unique_genres
1322,electronic,None
1323,instrumental,None
1324,ambient,None
1325,electronic,None
1326,electronic,None
1327,electronic,None
1328,ambient,None
1329,chillout,None
1330,chillout,None
1331,electronic,None
1332,electronic,None
1333,chillout,None
1334,electronic,None
1335,electronic,None
1336,instrumental,None
1337,ambient,None
1338,electronic,None
1339,electronic,None
1340,instrumental,None
1341,ambient,None
1342,electronic,None
1343,electronic,None
1344,ambient,None
1345,chillout,None
1346,chillout,None
1347,electronic,None
1348,electronic,None
1349,instrumental,None
1350,ambient,None
1351,electronic,None
1352,classic rock,None
1353,electronic,None
1354,ambient,None
1355,instrumental,None
1356,ambient,None
1357,electronic,None
1358,indie,None
1359,indie rock,None
1360,electronic,None
1361,electronic,None
1362,chillwave,None
1363,electronic,None
1364,pop,None
1365,Love,None
1366,pop music tag,None
1367,pop,None
1368,pop,None
1369,pop,None
1370,cover,None
1371,indie pop,None
1372,dream pop,None
1373,indie,None
1374,electronic,None
1375,experimental,None
1376,summer,None
1377,indie,None
1378,electronic,None
1379,indie,None
1380,indie,None
1381,electronic,None
1382,indie,None
1383,indie,None
1384,pop music tag,None
1385,pop,None
1386,pop,None
1387,cover,None
1388,folk,None
1389,electronic,None
1390,indie pop,None
1391,electronic,None
1392,electronic,None
1393,rock,None
1394,singer-songwriter,None
1395,classic rock,None
1396,classic rock,None
1397,classic rock,None
1398,rock,None
1399,rock,None
1400,indie,None
1401,indie rock,None
1402,indie rock,None
1403,title is a full sentence,None
1404,afrobeat,None
1405,chill,None
1406,indie,None
1407,80s,None
1408,indie,None
1409,indie,None
1410,featuring,None
1411,dream pop,None
1412,singer-songwriter,None
1413,80s,None
1414,indie,None
1415,indie,None
1416,indie,None
1417,dream pop,None
1418,electronic,None
1419,electronic,None
1420,electronic,None
1421,electronic,None
1422,BIRP,None
1423,shoegaze,None
1424,shoegaze,None
1425,rock,None
1426,indie,None
1427,indie,None
1428,electronic,None
1429,synthpop,None
1430,electronic,None
1431,synthpop,None
1432,pop,None
1433,indie,None
1434,alternative,None
1435,indie,None
1436,Lo-Fi,None
1437,alternative,None
1438,electronic,None
1439,80s,None
1440,electronic,None
1441,rock,None
1442,indie,None
1443,indie rock,None
1444,dream pop,None
1445,indie,None
1446,darkwave,None
1447,electronic,None
1448,ambient,None
1449,rock,None
1450,70s,None
1451,80s,None
1452,folk,None
1453,shoegaze,None
1454,american,None
1455,indie,None
1456,somafm,None
1457,indietronica,None
1458,electronic,None
1459,indie,None
1460,indie,None
1461,electronic,None
1462,featuring,None
1463,pop,None
1464,classic rock,None
1465,synthpop,None
1466,electronic,None
1467,Lo-Fi,None
1468,electronic,None
1469,BIRP,None
1470,featuring,None
1471,indie,None
1472,indie,None
1473,indie rock,None
1474,indie rock,None
1475,indie rock,None
1476,electro,None
1477,electro,None
1478,electro,None
1479,electro,None
1480,electro,None
1481,electronic,None
1482,indie rock,None
1483,dream pop,None
1484,indie,None
1485,indie,None
1486,electronic,None
1487,Hip-Hop,None
1488,Hip-Hop,None
1489,Hip-Hop,None
1490,Hip-Hop,None
1491,electronic,None
1492,electronic,None
1493,electronic,None
1494,experimental,None
1495,indie,None
1496,folk,None
1497,experimental,None
1498,indie,None
1499,indie,None
1500,indie,None
1501,folk,None
1502,indie,None
1503,indie,None
1504,indie,None
1505,1Live Fiehe,None
1506,indie,None
1507,indie,None
1508,electronic,None
1509,indie rock,None
1510,indie,None
1511,80s,None
1512,electronic,None
1513,pop,None
1514,Lo-Fi,None
1515,indie pop,None
1516,indie rock,None
1517,indie rock,None
1518,Hip-Hop,None
1519,electronic,None
1520,indie,None
1521,indie,None
1522,dream pop,None
1523,dream pop,None
1524,ambient,None
1525,dream pop,None
1526,recs I like,None
1527,1Live Fiehe,None
1528,indie,None
1529,indie rock,None
1530,indie rock,None
1531,electronic,None
1532,electronic,None
1533,electronic,None
1534,electronic,None
1535,80s,None
1536,electronic,None
1537,pop,None
1538,electropop,None
1539,somafm,None
1540,somafm,None
1541,somafm,None
1542,indie pop,None
