,genre_sequence,unique_genres
1014,electronic,None
1015,indie,None
1016,trap,None
1017,love at first listen,None
1018,electronica,None
1019,indie,None
1020,instrumental,None
1021,post-rock,None
1022,instrumental,None
1023,post-rock,None
1024,indie,None
1025,indie,None
1026,indie pop,None
1027,electronica,None
1028,indie,None
1029,2015,None
1030,synthpop,None
1031,trap,None
1032,electronica,None
1033,indie,None
1034,indie,None
1035,indie pop,None
1036,electronica,None
1037,indie,None
1038,synthpop,None
1039,electronica,None
1040,indie pop,None
1041,indie,None
1042,electronica,None
1043,synthpop,None
1044,electronic,None
1045,indie,None
1046,synthpop,None
1047,electronica,None
1048,indie pop,None
1049,indie,None
1050,electronica,None
1051,synthpop,None
1052,electronic,None
1053,indie,None
1054,synthpop,None
1055,2015,None
1056,instrumental,None
1057,post-rock,None
1058,synthpop,None
1059,synthpop,None
1060,electronic,None
1061,electronic,None
1062,synthpop,None
1063,synthpop,None
1064,electronic,None
1065,synthpop,None
1066,synthpop,None
1067,indie pop,None
1068,2015,None
1069,electronica,None
1070,indie,None
1071,indie,None
1072,indie pop,None
1073,electronica,None
1074,indie,None
1075,2015,None
1076,synthpop,None
1077,indie pop,None
1078,2015,None
1079,electronica,None
1080,indie,None
1081,indie,None
1082,indie pop,None
1083,electronica,None
1084,indie,None
1085,2015,None
1086,synthpop,None
1087,indie,None
1088,indie,None
1089,indie,None
1090,indie,None
1091,indie,None
1092,indie,None
1093,indie rock,None
1094,indie rock,None
1095,alternative rock,None
1096,alternative rock,None
1097,alternative rock,None
1098,alternative rock,None
1099,alternative rock,None
1100,rock,None
1101,future,None
1102,Hip-Hop,None
1103,rap,None
1104,Hip-Hop,None
1105,trap,None
1106,love at first listen,None
1107,instrumental,None
1108,indie rock,None
1109,indie,None
1110,indie,None
1111,indie,None
1112,indie,None
1113,indie,None
1114,indie,None
1115,indie,None
1116,indie,None
1117,indie,None
1118,indie rock,None
1119,emo,None
1120,indie,None
1121,winter morning,None
1122,emo,None
1123,acoustic,None
1124,indie,None
1125,indie,None
1126,alternative,None
1127,electronic,None
1128,chillstep,None
1129,indie,None
1130,alternative,None
1131,electronica,None
1132,indie,None
1133,male vocalists,None
1134,rock,None
1135,alternative rock,None
1136,folk,None
1137,female vocalists,None
1138,indie rock,None
1139,instrumental,None
1140,indie rock,None
1141,trap,None
1142,electronic,None
1143,future bass,None
1144,electronic,None
1145,dance,None
1146,trap,None
1147,Hip-Hop,None
1148,techno,None
1149,Hip-Hop,None
1150,electronic,None
1151,scarlett johansson,None
1152,Hip-Hop,None
1153,trap,None
1154,Hip-Hop,None
1155,rap,None
1156,2014,None
1157,electronic,None
1158,alternative,None
1159,ost,None
1160,Meyers,None
1161,2010s,None
1162,indie,None
1163,sxsw 2015,None
1164,2013,None
1165,future bass,None
1166,rock,None
1167,indie,None
1168,2014,None
1169,electronic,None
1170,alternative,None
1171,indie,None
1172,indie,None
1173,pop,None
1174,soul,None
1175,instrumental,None
1176,indie rock,None
1177,instrumental,None
1178,indie rock,None
1179,instrumental,None
1180,indie rock,None
1181,indie rock,None
1182,trap,None
1183,indie,None
1184,folk,None
1185,indie,None
1186,folk rock,None
1187,electronic,None
1188,indie,None
1189,indie,None
1190,folk rock,None
1191,folk,None
1192,trap,None
1193,trap,None
1194,trap,None
1195,love at first listen,None
1196,trap,None
1197,trap,None
1198,love at first listen,None
1199,punk rock,None
1200,punk rock,None
1201,punk rock,None
1202,soul,None
1203,love at first listen,None
1204,punk rock,None
1205,punk,None
1206,punk,None
1207,punk,None
1208,rock,None
1209,indie rock,None
1210,Hip-Hop,None
1211,rap,None
1212,80s,None
1213,indie,None
1214,indie,None
1215,indie,None
1216,beautiful,None
1217,indie rock,None
1218,folk,None
1219,indie,None
1220,rap,None
1221,rock,None
1222,folk rock,None
1223,rap,None
1224,indie,None
1225,3 stars,None
1226,ost,None
1227,indie rock,None
1228,folk,None
1229,3 stars,None
1230,folk rock,None
1231,indie,None
1232,pop,None
1233,indie rock,None
1234,indie rock,None
1235,ost,None
1236,ost,None
1237,3 stars,None
1238,folk,None
1239,3 stars,None
1240,ost,None
1241,chill,None
1242,indie,None
1243,indie rock,None
1244,indie,None
1245,indie rock,None
1246,british,None
1247,indie rock,None
1248,indie rock,None
1249,indie rock,None
1250,indie,None
1251,indie,None
1252,indie,None
1253,indie,None
1254,indie,None
1255,indie,None
1256,indie rock,None
1257,indie,None
1258,indie,None
1259,indie,None
1260,indie,None
1261,indie,None
1262,indie,None
1263,indie,None
1264,indie,None
1265,indie,None
1266,laid back,None
1267,rock,None
1268,indie rock,None
1269,indie rock,None
1270,indie,None
1271,indie rock,None
1272,indie rock,None
1273,indie,None
1274,rock,None
1275,indie,None
1276,indie,None
1277,indie,None
1278,indie,None
1279,indie rock,None
1280,indie rock,None
1281,folk,None
1282,indie rock,None
1283,indie rock,None
1284,indie rock,None
1285,emo,None
1286,emo,None
1287,emo,None
1288,indie rock,None
1289,folk,None
1290,soul,None
1291,soul,None
1292,indie rock,None
1293,indie rock,None
1294,relevant magazine,None
1295,conan,None
1296,indie,None
1297,emo,None
1298,indie rock,None
1299,soul,None
1300,Hip-Hop,None
1301,indie rock,None
1302,rock,None
1303,rock,None
1304,alternative,None
1305,rock,None
1306,rock,None
1307,alternative rock,None
1308,indie rock,None
1309,emo,None
1310,emo,None
1311,soul,None
1312,indie rock,None
1313,Hip-Hop,None
1314,screamo,None
1315,screamo,None
1316,alternative rock,None
1317,screamo,None
1318,emo,None
1319,emo,None
1320,punk,None
1321,punk,None
1322,punk,None
1323,indie,None
1324,indie,None
1325,indie,None
1326,indie,None
1327,indie rock,None
1328,rock,None
1329,rock,None
1330,rock,None
1331,rock,None
1332,indie,None
1333,indie rock,None
1334,rock,None
1335,rock,None
1336,rock,None
1337,Mellow,None
1338,soul,None
1339,jazz,None
1340,soul,None
1341,electronic,None
1342,rock,None
1343,indie rock,None
1344,pop,None
1345,pop,None
1346,love at first listen,None
1347,instrumental,None
1348,love at first listen,None
1349,indie rock,None
1350,soul,None
1351,synthpop,None
1352,american,None
1353,indie,None
1354,indie rock,None
1355,love at first listen,None
1356,soul,None
1357,Canadian,None
1358,british,None
1359,soul,None
1360,soul,None
1361,soul,None
1362,indie rock,None
1363,chill,None
1364,synthpop,None
1365,synthpop,None
1366,synthpop,None
1367,synthpop,None
1368,synthpop,None
1369,synthpop,None
1370,synthpop,None
1371,indie rock,None
1372,love at first listen,None
1373,american,None
1374,indie,None
1375,love at first listen,None
1376,soul,None
1377,folk,None
1378,soul,None
1379,british,None
1380,american,None
1381,indie pop,None
1382,indie,None
1383,love at first listen,None
1384,2010s,None
1385,pop,None
1386,indie,None
1387,Canadian,None
1388,british,None
1389,soul,None
1390,indie rock,None
1391,soul,None
1392,soul,None
1393,soul,None
1394,soul,None
1395,soul,None
1396,folk,None
1397,soul,None
1398,soul,None
1399,soul,None
1400,indie rock,None
1401,indie rock,None
1402,soul,None
1403,indie rock,None
1404,indie,None
1405,indie rock,None
1406,indie,None
1407,indie,None
1408,indie,None
1409,indie,None
1410,indie,None
1411,indie,None
1412,indie,None
1413,indie,None
1414,indie,None
1415,indie,None
1416,indie,None
1417,indie,None
1418,indie,None
1419,indie rock,None
1420,soul,None
1421,soul,None
1422,soul,None
1423,soul,None
1424,soul,None
1425,folk,None
1426,soul,None
1427,soul,None
1428,soul,None
1429,indie rock,None
1430,soul,None
1431,soul,None
1432,soul,None
1433,soul,None
1434,soul,None
1435,soul,None
1436,soul,None
1437,soul,None
1438,indie rock,None
1439,indie rock,None
1440,soul,None
1441,soul,None
1442,soul,None
1443,soul,None
1444,folk,None
1445,soul,None
1446,indie rock,None
1447,soul,None
1448,soul,None
1449,indie rock,None
1450,indie rock,None
1451,soul,None
1452,pop punk,None
1453,indie,None
1454,indie,None
1455,indie,None
1456,indie rock,None
1457,indie,None
1458,indie,None
1459,soul,None
1460,british,None
1461,The Vampire Diaries,None
1462,british,None
1463,indie,None
1464,indie,None
1465,indie,None
1466,indie,None
1467,indie,None
1468,indie,None
1469,indie,None
1470,indie,None
1471,indie,None
1472,indie,None
1473,indie,None
1474,female vocalists,None
1475,british,None
1476,emo,None
1477,indie rock,None
1478,indie,None
1479,american,None
1480,indie rock,None
1481,indie pop,None
1482,indie,None
1483,indie,None
1484,electronic,None
1485,synthpop,None
1486,british,None
1487,soul,None
1488,folk,None
1489,folk,None
1490,indie,None
1491,soul,None
1492,soul,None
1493,indie rock,None
1494,indie rock,None
1495,indie,None
1496,emo,None
1497,indie rock,None
1498,I may start dancing,None
1499,emo,None
1500,emo,None
1501,indie,None
1502,indie rock,None
1503,emo,None
1504,emo,None
1505,british,None
1506,indie rock,None
1507,indie,None
1508,british,None
1509,indie rock,None
1510,emo,None
1511,alternative,None
1512,indie,None
1513,indie,None
1514,rock,None
1515,indie rock,None
1516,indie rock,None
1517,rock,None
1518,rock,None
1519,rock,None
1520,electronic,None
1521,indie,None
1522,synthpop,None
1523,indie,None
1524,indie,None
1525,indie rock,None
1526,indie,None
1527,blues rock,None
1528,indie rock,None
1529,indie,None
1530,synthpop,None
1531,indie,None
1532,rap,None
1533,emo,None
1534,emo,None
1535,alternative,None
1536,alternative,None
1537,rock,None
1538,synthpop,None
1539,indie,None
1540,indie,None
1541,indie,None
1542,indie,None
1543,indie,None
1544,rock,None
1545,indie,None
1546,indie,None
1547,indie,None
1548,indie,None
1549,electronic,None
1550,emo,None
1551,rap,None
1552,indie rock,None
1553,indie,None
1554,indie,None
1555,indie,None
1556,indie,None
1557,indie,None
1558,hip hop,None
1559,rap,None
1560,rap,None
1561,rock,None
1562,rock,None
1563,alternative,None
1564,rock,None
1565,rock,None
1566,rock,None
1567,rock,None
1568,electronic,None
1569,electronic,None
1570,indie,None
1571,indie,None
1572,indie,None
1573,rock,None
1574,alternative rock,None
1575,post-rock,None
1576,indie,None
1577,indie,None
1578,so beautiful it will break your heart,None
1579,indie,None
1580,indie,None
1581,rock,None
1582,rock,None
1583,electronic,None
1584,indie,None
1585,electronic,None
1586,indie,None
1587,indie rock,None
1588,indie,None
1589,indie,None
1590,emo,None
1591,indie,None
1592,indie,None
1593,indie,None
1594,soul,None
1595,indie rock,None
1596,indie,None
1597,indie,None
1598,indie,None
1599,indie,None
1600,indie,None
1601,indie,None
